Link,TotalHit,D1,D2,D3,D4,D5,D6,D7,TXUtilization,MaxUtil,Bandwidth(Kbps)
2429,0,44.0400009155273,49.5499992370605,42.310001373291,44.2299995422363,46.189998626709,43.8899993896484,52.8400001525879,12.6599998474121,52.8400001525879,204746.0
3247,0,45.0299987792969,42.0699996948242,55.8300018310547,45.75,53.7799987792969,47.689998626709,49.5299987792969,11.6899995803833,55.8300018310547,240942.0
1950,0,51.0676040649414,49.492546081543,59.5027656555176,58.1130065917969,60.6466674804688,53.4664268493652,56.2892456054688,23.3421381134148,60.6466674804688,159741.0
16115,0,30.2918109893799,37.3642959594727,32.3197250366211,30.7455158233643,32.1325302124023,37.4268074035645,33.4009132385254,5.16875454113964,37.4268074035645,354743.0
8807,0,14.1512641906738,12.3982086181641,8.83799934387207,3.73141980171204,6.13782358169556,11.4143238067627,6.84833765029907,56.9579975198012,14.1512641906738,222966.0
8800,0,13.8390083312988,14.1372814178467,13.8888845443726,15.6541423797607,12.8332233428955,13.1580820083618,11.7524700164795,3.13394550424776,15.6541423797607,203107.0
4320,0,27.4599990844727,17.7999992370605,19.2099990844727,18.4099998474121,18.6299991607666,15.3999996185303,16.1700000762939,3.15000009536743,27.4599990844727,283800.0
6159,0,36.1050491333008,39.0915374755859,35.5598983764648,42.9926605224609,42.0458564758301,56.7283401489258,65.3303451538086,39.1293094738121,65.3303451538086,88457.0
5640,0,34.8600006103516,34.9199981689453,37.8800010681152,38.5200004577637,38.189998626709,38.9300003051758,41.0200004577637,7.78999996185303,41.0200004577637,182141.0
1890,0,48.9799995422363,49.5200004577637,52.8899993896484,48.6500015258789,47.6199989318848,45.2000007629395,45.3300018310547,11.2700004577637,52.8899993896484,240942.0
9405,0,33.715633392334,36.0902328491211,41.0831909179688,34.6400146484375,33.0043334960938,35.2169036865234,31.3457126617432,18.177256938461,41.0831909179688,203107.0
5008,0,16.6900005340576,14.1700000762939,24.3899993896484,10.7299995422363,14.1400003433228,11.8199996948242,10.8299999237061,7.01000022888184,24.3899993896484,195675.0
1073,0,59.537712097168,76.0366897583008,65.5700225830078,59.8974304199219,70.7745742797852,62.8178634643555,57.6143417358398,10.0502059572598,76.0366897583008,219243.0
8407,0,27.7565383911133,37.6483306884766,31.5750389099121,30.3519382476807,32.1054763793945,28.5276298522949,27.8599472045898,4.15066674842789,37.6483306884766,435720.0
5003,0,27.3199996948242,12.5600004196167,17.9200000762939,13.9300003051758,18.1000003814697,16.2800006866455,18.7999992370605,3.57999992370605,27.3199996948242,184549.0
10264,0,16.1900005340576,14.5699996948242,18.6900005340576,15.6199998855591,16.8099994659424,16.9099998474121,12.1000003814697,11.0100002288818,18.6900005340576,182141.0
16269,0,50.834659576416,48.1597900390625,45.4508361816406,49.7334136962891,45.6006813049316,45.0981521606445,49.9539108276367,7.37072751907704,50.834659576416,280966.0
14353,0,22.3813934326172,20.6687316894531,17.6165313720703,17.4966907501221,25.512092590332,27.5296592712402,18.3168869018555,7.69726430757556,27.5296592712402,203107.0
